IP address,remote ssh version,country_code2,organization,asn
85.192.56.68,SSH-2.0-Go,RU,Aeza Group Ltd.,
167.94.145.109,SSH-2.0-Go,DE,"Censys, Inc.",
172.206.147.160,MGLNDD_15.188.246.148_22,US,Microsoft Corporation,
66.240.236.116,SSH-2.0-Go,US,"CariNet, Inc.",
44.220.188.54,SSH-2.0-paramiko_2.9.2,US,"Amazon.com, Inc.",
194.87.189.200,SSH-2.0-Go,DE,AEZA INTERNATIONAL LTD,
157.245.252.5,SSH-2.0-Go,US,"DigitalOcean, LLC",
2.57.122.195,,RO,UNMANAGED LTD,
195.178.110.76,SSH-2.0-Go,NL,TECHOFF SRV LIMITED,
47.104.178.89,SSH-2.0-libssh_0.9.6,CN,"Hangzhou Alibaba Advertising Co.,Ltd.",
